XML_TAG,REQUIRED,SOURCE_FILE,SOURCE_TAG,UNIT,COMMENTS
<DataCollectionTime>,,,,,
DataCollectionTime/NumberOfAcquisitions,TRUE,FIXED_VALUE,1,,
DataCollectionTime/FirstAcquisitionDate,TRUE,STAC,properties.start_datetime,,
DataCollectionTime/LastAcquisitionDate,TRUE,STAC,properties.end_datetime,,
<SourceAttributes>,,,,,
SourceAttributes/SourceDataRepository,TRUE,HDF5,metadata/sourceData/dataAccess,URL,
SourceAttributes/Satellite,TRUE,HDF5,identification/platform,,
SourceAttributes/Instrument,TRUE,HDF5,identification/instrumentName,,
<SourceDataAcquisitionTime>,,,,,
SourceDataAcquisitionTime/StartTime,TRUE,STAC,properties.start_datetime,,
SourceDataAcquisitionTime/EndTime,TRUE,STAC,properties.end_datetime,,
<SourceDataAcquisitionParameters>,,,,,
SourceDataAcquisitionParameters/RadarBand,TRUE,HDF5,identification/radarBand,,
SourceDataAcquisitionParameters/RadarCenterFrequency,TRUE,HDF5,metadata/sourceData/centerFrequency,,
SourceDataAcquisitionParameters/ObservationMode,TRUE,HDF5,identification/acquisitionMode,,
SourceDataAcquisitionParameters/Polarizations,TRUE,SPECIAL,'+'.join(properties.sarard:polarizations),,Provided as a string of polarisations. e.g. 'HH+HV' or 'VV'. Handled in xml.py code
SourceDataAcquisitionParameters/AntennaPointing,TRUE,HDF5,identification/lookDirection,,
SourceDataAcquisitionParameters/BeamID,TRUE,HDF5,identification/subSwathID,,
SourceDataAcquisitionParameters/RelativeOrbitNumber,TRUE,HDF5,identification/trackNumber,,
SourceDataAcquisitionParameters/AbsoluteOrbitNumber,TRUE,HDF5,identification/absoluteOrbitNumber,,
<OrbitInformation>,,,,,
OrbitInformation/PassDirection,TRUE,HDF5,identification/orbitPassDirection,,
OrbitInformation/OrbitDataSource,TRUE,HDF5,metadata/orbit/orbitType,,
OrbitInformation/OrbitDataFileName,TRUE,STAC,properties.sarard:orbit_file,,
<SourceProcParam>,,,,,
SourceProcParam/ProcessingFacility,TRUE,HDF5,metadata/sourceData/processingCenter,,
SourceProcParam/ProcessingDate,TRUE,HDF5,metadata/sourceData/processingDateTime,,Converted to a UTC with the special parameter handling in the xml.py code
SourceProcParam/SoftwareVersion,TRUE,HDF5,metadata/sourceData/softwareVersion,,
SourceProcParam/ProductID,TRUE,STAC,properties.sarard:source_id,,
SourceProcParam/ProductLevel,TRUE,HDF5,identification/productLevel,,
SourceProcParam/AzimuthNumberOfLooks,TRUE,HDF5,metadata/sourceData/azimuthLooks,,
SourceProcParam/RangeNumberOfLooks,TRUE,HDF5,metadata/sourceData/slantRangeLooks,,
"<SourceDataImageAttributes>  ",,,,,
SourceDataImageAttributes/SourceDataGeometry,TRUE,FIXED_VALUE,Slant Range,,
SourceDataImageAttributes/AzimuthPixelSpacing,TRUE,HDF5,metadata/sourceData/averageZeroDopplerSpacingInMeters,m,
SourceDataImageAttributes/RangePixelSpacing,TRUE,HDF5,metadata/sourceData/slantRangeSpacing,m,
SourceDataImageAttributes/AzimuthResolution,TRUE,HDF5,metadata/sourceData/azimuthResolutionInMeters,m,
SourceDataImageAttributes/RangeResolution,TRUE,HDF5,metadata/sourceData/slantRangeResolutionInMeters,m,
SourceDataImageAttributes/IncAngleNearRange,TRUE,HDF5,metadata/sourceData/nearRangeIncidenceAngle,deg,
SourceDataImageAttributes/IncAngleFarRange,TRUE,HDF5,metadata/sourceData/farRangeIncidenceAngle,deg,
<PerformanceIndicators>,,,,,
PerformanceIndicators/NoiseEquivalentIntensity/Estimates,TRUE,HDF5,metadata/sourceData/maxNoiseEquivalentSigmaZero,max,
<CEOS-ARDProductAttributes>,,,,,
<DataAccess>,,,,,
CEOS-ARDProductAttributes/DataAccess/ProcessingFacility,TRUE,FIXED_VALUE,Geoscience Australia,,
CEOS-ARDProductAttributes/DataAccess/ProcessingTime,TRUE,STAC,properties.created,,
CEOS-ARDProductAttributes/DataAccess/SoftwareVersion,TRUE,STAC,properties.processing:version,,
CEOS-ARDProductAttributes/DataAccess/Repository,TRUE,FIXED_VALUE,https://github.com/GeoscienceAustralia/sar-pipeline,URL,
<AuxiliaryData>,,,,,
CEOS-ARDProductAttributes/AuxiliaryData/GeoidSource,TRUE,STAC,links.geoid-source.href,URL,
CEOS-ARDProductAttributes/AuxiliaryData/DemSource,TRUE,STAC,links.dem-source.href,URL,
<ProductSampleSpacing>,,,,,
CEOS-ARDProductAttributes/ProductSampleSpacing/ProductColumnSpacing,TRUE,STAC,properties.sarard:pixel_spacing_y,meter,
CEOS-ARDProductAttributes/ProductSampleSpacing/ProductRowSpacing,TRUE,STAC,properties.sarard:pixel_spacing_x,meter,
<ProductResolution>,,,,,
CEOS-ARDProductAttributes/ProductResolution/ProductResolutionColumn,TRUE,STAC,properties.sarard:resolution_y,meter,
CEOS-ARDProductAttributes/ProductResolution/ProductResolutionRow,TRUE,STAC,properties.sarard:resolution_x,meter,
CEOS-ARDProductAttributes/ProductGeographicalExtent,TRUE,SPECIAL,shapely.box(*bbox).wkt,"WTK, EPSG:3031","STAC bbox is a list, convert to wkt in xml.py"
<Filtering>,,,,,
CEOS-ARDProductAttributes/Filtering/FilterApplied,TRUE,STAC,properties.sarard:speckle_filter_applied,,
<ProductBoundingBox>,,,,,
"CEOS-ARDProductAttributes/ProductBoundingBox[@Corner=""UL""]/Longitude",TRUE,STAC,properties.sarard:UL_longitude,,
"CEOS-ARDProductAttributes/ProductBoundingBox[@Corner=""UL""]/Latitude",TRUE,STAC,properties.sarard:UL_latitude,,
"CEOS-ARDProductAttributes/ProductBoundingBox[@Corner=""LR""]/Longitude",TRUE,STAC,properties.sarard:LR_longitude,,
"CEOS-ARDProductAttributes/ProductBoundingBox[@Corner=""LR""]/Latitude",TRUE,STAC,properties.sarard:LR_latitude,,
<ProductImageSize>,,,,,
CEOS-ARDProductAttributes/ProductImageSize/NumberLines,TRUE,STAC,properties.sarard:number_of_lines,,
CEOS-ARDProductAttributes/ProductImageSize/NumPixelsPerLine,TRUE,STAC,properties.sarard:number_of_pixels_per_line,,
CEOS-ARDProductAttributes/ProductImageSize/HeaderSize,TRUE,FIXED_VALUE,"""N/A""",,
CEOS-ARDProductAttributes/PixelCoordinateConvention,TRUE,STAC,properties.sarard:pixel_coordinate_convention,,
"CEOS-ARDProductAttributes/CoordinateReferenceSystem[@type=""EPSG""]",TRUE,HDF5,data/projection,EPSG,
"CEOS-ARDProductAttributes/CoordinateReferenceSystem[@type=""WKT""]",TRUE,SPECIAL,pyproj.CRS.from_epsg(data/projection).to_wkt(),WKT,Handled in xml.py code
<PerPixelMetadata>,,,,,
<DataMask>,,,,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/FileName,TRUE,STAC,assets.mask.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/SampleType,TRUE,FIXED_VALUE,Classification,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/DataFormat,TRUE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/DataType,TRUE,FIXED_VALUE,Byte,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitsPerSample,TRUE,FIXED_VALUE,8,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/ByteOrder,TRUE,FIXED_VALUE,Little Endian,,
<BitValues>,,,,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/ValidData,TRUE,FIXED_VALUE,0,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/InvalidData,TRUE,FIXED_VALUE,255,,
