XML_TAG,REQUIRED,SOURCE_FILE,SOURCE_TAG,UNIT,COMMENTS
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/NoData,TRUE,FIXED_VALUE,255,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/Layover,TRUE,FIXED_VALUE,2,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/Shadow,TRUE,FIXED_VALUE,1,,
CEOS-ARDProductAttributes/PerPixelMetadata/DataMask/BitValues/LayoverandShadow,TRUE,FIXED_VALUE,3,,
<LocalIncAngle>,,,,,Only found when linking static layers
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/FileName,FALSE,STAC,assets.local_incidence_angle.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/SampleType,FALSE,FIXED_VALUE,Angle,Deg,
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/DataFormat,FALSE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/DataType,FALSE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/BitsPerSample,FALSE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/PerPixelMetadata/LocalIncAngle/ByteOrder,FALSE,FIXED_VALUE,Little Endian,,
<EllipsoidIncAngle>,,,,,Only found when linking static layers
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/FileName,FALSE,STAC,assets.incidence_angle.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/SampleType,FALSE,FIXED_VALUE,Angle,Deg,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/DataFormat,FALSE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/DataType,FALSE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/BitsPerSample,FALSE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/ByteOrder,FALSE,FIXED_VALUE,Little Endian,,
CEOS-ARDProductAttributes/PerPixelMetadata/EllipsoidIncAngle/EllipsoidName,FALSE,FIXED_VALUE,WGS84,,
<GammaToSigmaRatio>,,,,,Only found when linking static layers
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/FileName,FALSE,STAC,assets.gamma0_to_sigma0_ratio.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/SampleType,FALSE,FIXED_VALUE,Ratio,Ratio,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/DataFormat,FALSE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/DataType,FALSE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/BitsPerSample,FALSE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToSigmaRatio/ByteOrder,FALSE,FIXED_VALUE,Little Endian,,
<GammaToBetaRatio>,,,,,Only found when linking static layers
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/FileName,FALSE,STAC,assets.gamma0_to_beta0_ratio.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/SampleType,FALSE,FIXED_VALUE,Ratio,Ratio,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/DataFormat,FALSE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/DataType,FALSE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/BitsPerSample,FALSE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/PerPixelMetadata/GammaToBetaRatio/ByteOrder,FALSE,FIXED_VALUE,Little Endian,,
<NumberOfLooks>,,,,,Only found when linking static layers
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/FileName,FALSE,STAC,assets.number_of_looks.href,,
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/SampleType,FALSE,FIXED_VALUE,Count,Count,
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/DataFormat,FALSE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/DataType,FALSE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/BitsPerSample,FALSE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/PerPixelMetadata/NumberOfLooks/ByteOrder,FALSE,FIXED_VALUE,Little Endian,,
<BackscatterMeasurementData>,,,,,Special logic is used in the xml.py code to handle multiple backscatter polarisation files
CEOS-ARDProductAttributes/BackscatterMeasurementData/BackscatterMeasurement,TRUE,STAC,properties.sarard:measurement_type,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/BackscatterConvention,TRUE,FIXED_VALUE,Linear Power,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/Polarization,TRUE,SPECIAL,POLARISATION,,Handled in xml.py code
CEOS-ARDProductAttributes/BackscatterMeasurementData/FileName,TRUE,SPECIAL,assets.POLARISATION_BACKSCATTER-CONVENTION.href,,Handled in xml.py code
CEOS-ARDProductAttributes/BackscatterMeasurementData/DataFormat,TRUE,FIXED_VALUE,GeoTIFF,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/DataType,TRUE,FIXED_VALUE,Float,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/BitsPerSample,TRUE,FIXED_VALUE,32,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/ByteOrder,TRUE,FIXED_VALUE,Little Endian,,
CEOS-ARDProductAttributes/BackscatterMeasurementData/BackscatterConversionEq,TRUE,HDF5,metadata/processingInformation/parameters/outputBackscatterDecibelConversionEquation,dB,
<NoiseRemoval>,,,,,
CEOS-ARDProductAttributes/NoiseRemoval/NoiseRemovalApplied,TRUE,HDF5,metadata/processingInformation/parameters/noiseCorrectionApplied,,
CEOS-ARDProductAttributes/NoiseRemoval/NRAlgorithm,TRUE,STAC,links.noise-correction.href,URL,
<RadiometricTerrainCorrections>,,,,,
CEOS-ARDProductAttributes/RadiometricTerrainCorrections/RTCAlgorithm,TRUE,HDF5,metadata/processingInformation/algorithms/radiometricTerrainCorrectionAlgorithmReference,DOI,
<GeometricCorrection>,,,,,
CEOS-ARDProductAttributes/GeometricCorrection/GeoCorrAlgorithm,TRUE,HDF5,metadata/processingInformation/algorithms/geocodingAlgorithmReference,DOI,
CEOS-ARDProductAttributes/GeometricCorrection/GriddingConvention/BurstGeogridSnapX,TRUE,HDF5,metadata/processingInformation/parameters/geocoding/burstGeogridSnapX,m,
CEOS-ARDProductAttributes/GeometricCorrection/GriddingConvention/BurstGeogridSnapY,TRUE,HDF5,metadata/processingInformation/parameters/geocoding/burstGeogridSnapY,m,
CEOS-ARDProductAttributes/GeometricCorrection/GriddingConvention/GriddingConventionReference,TRUE,FIXED_VALUE,https://d2pn8kiwq2w21t.cloudfront.net/documents/ProductSpec_RTC-S1.pdf,URL,
<DigitalElevationModel>,,,,,
CEOS-ARDProductAttributes/GeometricCorrection/DigitalElevationModel/DEMReference,TRUE,STAC,links.dem-source.href,URL,
CEOS-ARDProductAttributes/GeometricCorrection/DigitalElevationModel/EGMReference,TRUE,STAC,links.geoid-source.href,,
<GeoCorrAccuracy>,,,,,
CEOS-ARDProductAttributes/GeometricCorrection/GeoCorrAccuracy/NorthernBias,TRUE,STAC,properties.sarard:geometric_accuracy_north_bias,,
CEOS-ARDProductAttributes/GeometricCorrection/GeoCorrAccuracy/NorthernSTDev,TRUE,STAC,properties.sarard:geometric_accuracy_north_std,,
CEOS-ARDProductAttributes/GeometricCorrection/GeoCorrAccuracy/EasternBias,TRUE,STAC,properties.sarard:geometric_accuracy_east_bias,,
CEOS-ARDProductAttributes/GeometricCorrection/GeoCorrAccuracy/EasternSTDev,TRUE,STAC,properties.sarard:geometric_accuracy_east_std,,
