scene,bursts,dem_type,s3_folder,s3_folder_static_layers
S1A_IW_SLC__1SSH_20150404T050836_20150404T050903_005329_006C0A_D7B9,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2015
S1A_IW_SLC__1SSH_20160410T050837_20160410T050904_010754_0100F2_D7EB,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2016
S1A_IW_SLC__1SSH_20170405T050846_20170405T050913_016004_01A66B_BDAB,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2017
S1B_IW_SLC__1SSH_20180406T050807_20180406T050833_010358_012DBD_CD77,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2018
S1B_IW_SLC__1SSH_20190401T050813_20190401T050840_015608_01D435_57A5,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2019
S1A_IW_SLC__1SSH_20200401T050905_20200401T050932_031929_03AFBE_F701,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2020
S1B_IW_SLC__1SSH_20210402T050825_20210402T050852_026283_03230B_6A6B,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2021
S1A_IW_SLC__1SSH_20220403T050916_20220403T050943_042604_051523_C0F7,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2022
S1A_IW_SLC__1SSH_20230410T050922_20230410T050949_048029_05C5EA_CEEA,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2023
S1A_IW_SLC__1SSH_20240404T050927_20240404T050954_053279_06754C_A85F,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES/static_layers_2024
