scene,bursts,dem_type,s3_folder
S1B_IW_SLC__1SSH_20210613T050829_20210613T050856_027333_0343B9_E8E1,t007_014550_iw2 t007_014551_iw2 t007_014549_iw1,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES_WINTER_NEXT_YEAR_DEM
S1A_IW_SLC__1SSH_20210607T050849_20210607T050916_038229_0482F5_D87B,t007_014543_iw2,REMA_10_TIMESERIES,experimental/rema-timeseries-v0.3-assessment/REMA_10_TIMESERIES_WINTER_NEXT_YEAR_DEM
